# Constructed from biom file
#OTU ID	13	14	11	12	10	27	26	29	32	30	7	9	28	31	8	25	24	23	ERR571400	ERR571405	ERR571398	ERR571397	ERR571417	ERR571418	ERR571425	ERR571423	ERR571406	ERR571422	ERR571434	ERR571436	ERR571396	ERR571404	ERR571409	ERR571410	ERR571407	ERR571412	ERR571416	ERR571431	ERR571411	ERR571413	ERR571424	ERR571401	ERR571399	ERR571421	ERR571429	ERR571432	ERR571415	ERR571428	ERR571437	ERR571438	ERR571403	ERR571420	ERR571430	ERR571435	ERR571402	ERR571414	ERR571419	ERR571426	ERR571427	taxonomy
1	4.0	2.0	0.0	0.0	0.0	0.0	1.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	1.0	1.0	1.0	4.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	1.0	4.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria
2	177.0	334.0	127.0	314.0	154.0	392.0	620.0	870.0	409.0	413.0	149.0	314.0	184.0	197.0	342.0	398.0	572.0	295.0	61.0	57.0	32.0	8.0	29.0	59.0	34.0	50.0	18.0	23.0	22.0	120.0	47.0	28.0	23.0	32.0	21.0	77.0	32.0	54.0	17.0	18.0	8.0	70.0	17.0	32.0	43.0	66.0	27.0	58.0	101.0	63.0	44.0	26.0	37.0	32.0	28.0	15.0	27.0	22.0	6.0	k__Bacteria:p__Acidobacteria:c__Acidobacteria-5:o__:f__:g__:s__
3	194.0	218.0	111.0	207.0	103.0	110.0	195.0	718.0	191.0	236.0	142.0	237.0	141.0	113.0	207.0	315.0	181.0	130.0	80.0	70.0	42.0	32.0	56.0	45.0	32.0	63.0	27.0	30.0	23.0	118.0	46.0	69.0	25.0	49.0	17.0	67.0	18.0	97.0	29.0	27.0	16.0	44.0	10.0	36.0	43.0	115.0	39.0	80.0	119.0	89.0	34.0	47.0	67.0	31.0	42.0	32.0	66.0	31.0	14.0	k__Bacteria:p__Acidobacteria:c__Acidobacteria-6:o__CCU21:f__:g__:s__
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	3.0	2.0	0.0	0.0	0.0	6.0	2.0	5.0	6.0	3.0	11.0	2.0	1.0	2.0	0.0	0.0	5.0	1.0	6.0	1.0	3.0	1.0	8.0	4.0	2.0	3.0	4.0	4.0	4.0	5.0	5.0	1.0	2.0	4.0	3.0	5.0	1.0	2.0	0.0	0.0	k__Bacteria:p__Acidobacteria:c__Acidobacteria-6:o__:f__:g__:s__
5	3142.0	6310.0	2493.0	5079.0	2910.0	7707.0	9434.0	16073.0	7003.0	7938.0	3352.0	4815.0	3343.0	3754.0	6573.0	8004.0	8897.0	6734.0	493.0	423.0	388.0	165.0	295.0	379.0	303.0	269.0	183.0	202.0	148.0	777.0	258.0	193.0	293.0	220.0	163.0	405.0	138.0	396.0	240.0	195.0	69.0	406.0	64.0	219.0	403.0	478.0	211.0	563.0	695.0	622.0	198.0	250.0	394.0	183.0	232.0	182.0	256.0	122.0	59.0	k__Bacteria:p__Acidobacteria:c__Acidobacteria-6:o__iii1-15:f__:g__:s__
6	238.0	422.0	142.0	315.0	148.0	439.0	641.0	1376.0	499.0	389.0	180.0	291.0	265.0	190.0	321.0	506.0	590.0	395.0	41.0	9.0	67.0	33.0	54.0	47.0	26.0	16.0	20.0	8.0	15.0	74.0	30.0	32.0	70.0	25.0	28.0	79.0	14.0	31.0	34.0	25.0	6.0	40.0	2.0	14.0	31.0	62.0	41.0	45.0	74.0	92.0	6.0	36.0	44.0	14.0	21.0	24.0	22.0	5.0	1.0	k__Bacteria:p__Acidobacteria:c__Acidobacteria-6:o__iii1-15:f__mb2424:g__:s__
7	349.0	626.0	289.0	520.0	306.0	698.0	1207.0	2856.0	753.0	1110.0	343.0	514.0	649.0	689.0	644.0	1464.0	1801.0	905.0	62.0	36.0	82.0	23.0	44.0	46.0	44.0	39.0	25.0	22.0	38.0	202.0	42.0	34.0	38.0	30.0	21.0	63.0	19.0	66.0	36.0	18.0	7.0	75.0	8.0	49.0	77.0	101.0	36.0	123.0	117.0	96.0	21.0	42.0	70.0	30.0	34.0	31.0	23.0	17.0	17.0	k__Bacteria:p__Acidobacteria:c__Acidobacteria-6:o__iii1-15:f__RB40:g__:s__
8	7.0	12.0	2.0	10.0	4.0	32.0	14.0	41.0	32.0	38.0	3.0	13.0	9.0	19.0	15.0	45.0	16.0	18.0	2.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria:p__Acidobacteria:c__Acidobacteriia:o__Acidobacteriales:f__Acidobacteriaceae:g__Edaphobacter:s__modestum
9	17.0	30.0	4.0	41.0	23.0	51.0	92.0	29.0	80.0	35.0	26.0	21.0	18.0	35.0	27.0	108.0	34.0	15.0	9.0	6.0	0.0	0.0	0.0	0.0	8.0	2.0	10.0	8.0	0.0	0.0	8.0	0.0	1.0	0.0	38.0	0.0	0.0	1.0	0.0	1.0	0.0	23.0	5.0	17.0	4.0	2.0	0.0	4.0	1.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	k__Bacteria:p__Acidobacteria:c__Acidobacteriia:o__Acidobacteriales:f__Acidobacteriaceae:g__:s__
10	33.0	82.0	17.0	49.0	44.0	194.0	267.0	202.0	320.0	165.0	50.0	30.0	54.0	123.0	67.0	230.0	137.0	95.0	27.0	22.0	2.0	0.0	2.0	1.0	16.0	9.0	2.0	44.0	5.0	4.0	16.0	3.0	1.0	1.0	13.0	0.0	3.0	7.0	1.0	1.0	0.0	45.0	9.0	45.0	6.0	5.0	2.0	10.0	4.0	12.0	5.0	1.0	5.0	3.0	2.0	4.0	14.0	3.0	0.0	k__Bacteria:p__Acidobacteria:c__Acidobacteriia:o__Acidobacteriales:f__Koribacteraceae:g__CandidatusKoribacter:s__
